#Taxonomy	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88
Carbohydrate metabolism	26914.55642	68561.80969	40741.13715	61463.65092	64231.83712	59026.21518	30096.12601	63828.13559	76177.2716	90077.8143	51495.29471	49457.10049	53650.15875	74999.24894	108323.062	56001.96014	65874.42713	77449.5702	88012.3098	69619.91166	74829.09656	89628.07552	61299.11095	90426.55114	71773.63542	93138.88115	34255.93173	87870.92058	176762.0461	174759.8498	60132.23374	64022.52874	111020.2	116687.6052	42519.34102	42020.14867	28460.93178	34844.70544	39426.93885	56847.68005	34497.40452	36612.64395	41310.33593	32126.65967	59984.0065	45970.70456	36860.14063	36088.32028	70001.02229	60361.91439	66084.353	190332.2547	65848.92627	55487.85813	43352.46189	89915.02216	54703.94281	41882.03574	45033.71863	44885.79088	99843.67328	82714.12604	73366.04873	60888.52541	53807.48019	54135.99521	73919.80109	136971.8933	56607.91218	40017.14957	43938.93645	64038.26563	49820.70629	110427.8896	32900.16516	55216.33789	39628.85267	83244.43407	54502.70036	66740.32463	74243.69552	70014.76272	89988.83398	141610.2872	157505.2095	67806.50572	69111.80453	90087.85678	72785.14576	93590.70354	82259.45137	72317.20992	101474.2615	78922.32147	93481.9501	124488.7393	92762.55029	76010.32041	88453.63753	56707.12049	45461.57151	123560.0834	55756.22103	71327.46689	46339.8135	56657.56356	74193.64908	47714.13167	39997.65576	45754.15688	50832.17466	60027.85075	39870.39461	144048.6484	82674.92981	52948.56343	67333.73713	142962.2522	62865.06085	50638.2259	37395.14701	50486.01356	84775.66785	49104.59866	39147.33287	103871.8605	39080.89743	33676.54211	36035.88249	40302.05923	72710.20186	73654.21598	45038.15274	58886.46751	152904.9652	40764.056	50169.92007	42078.18384	43492.09542	119842.3059	35470.44089	32310.54875	138613.0869	84998.85295	71152.81023	50229.38867	101404.8951	70935.84367	169207.6026	44689.75165	57151.0338	44991.67292	44221.96392	99780.0399	60474.75267	42615.79438	90199.18198	45487.525	37855.85545	80199.15638	156535.1322	42868.07212	38687.224	36781.08958	87376.46225	37624.49622	30538.61913	30826.65635	51957.2665	55668.46681	40314.30981
Amino acid metabolism	28666.12454	54964.6976	47986.85709	58287.7732	67959.03816	58656.11427	32108.57805	66269.03367	60720.1548	80351.82547	44286.5236	47510.41275	46004.90209	72900.86531	89109.38686	56330.6504	66305.90393	69760.99366	50976.83616	64393.25313	74578.80801	76815.95758	59933.05037	76337.90137	71546.27284	85396.0776	35660.89966	87612.66047	144292.0512	141063.3952	62291.24012	64701.20613	92774.97925	96159.09703	40859.32416	39873.24009	30487.49271	39376.47205	40231.95393	58198.94651	36702.45485	39820.23385	44771.93772	36355.54397	55017.83939	43278.28039	41890.68295	41873.41981	75509.72074	63947.63546	66988.8668	141317.9922	69832.23768	57726.0295	46276.2394	105528.6481	57645.52698	45022.7931	48026.5376	40959.30315	87791.94397	90878.44367	67791.80547	67907.54874	55231.30251	57523.30219	81545.25487	107422.61	62029.3627	43308.85196	48228.0862	59452.52458	50403.21414	90476.9395	21590.40714	57113.97749	43808.51139	76543.71802	58368.43007	63036.82047	73675.65356	63594.83152	95299.32534	127420.8459	121415.3692	67339.25427	65858.33035	74771.56955	67970.10559	78742.34558	78894.25968	79080.18812	81006.00307	79267.42729	90996.6909	99129.19227	63360.05439	61984.45719	89709.00913	65492.27963	49489.69302	100725.3046	62617.82759	64532.24763	53917.79055	58966.53302	72891.8706	52746.9853	43576.92149	48002.65538	55112.92858	57621.56966	39054.3147	113587.1434	78904.43453	56949.31269	59452.85248	112992.9569	60076.17571	48490.82201	41373.07539	51492.23435	72183.84733	52532.66861	41953.5152	85623.8521	44676.83152	38211.9124	39918.46174	44722.19899	77510.93335	69792.30171	49205.12083	57921.9464	117009.2055	42745.5011	44129.59308	43513.0595	44959.09066	97573.57871	36884.08774	35491.46245	111657.3508	95318.79485	72218.58161	51983.65136	90313.3617	59878.41406	138288.96	48898.01476	65302.40466	48588.65958	42742.26464	81123.64998	64502.24434	40600.23662	73408.48163	49486.19585	40502.83424	74452.81616	124735.6664	47106.05209	43868.97517	40707.57164	72421.87891	30649.77892	32655.23085	32981.26276	53807.9913	56514.23985	41668.03781
Metabolism of cofactors and vitamins	22383.27138	52023.08118	37333.22652	50793.39679	44849.41041	49542.69911	24236.77221	48820.48975	58129.18123	83254.26345	47445.93888	40296.87887	45845.3469	62525.64971	80139.06931	54476.02554	47094.35238	70157.02597	55179.42775	64712.12554	65993.90232	82216.36855	56606.31703	77373.45782	63356.97587	76857.90197	28775.3038	80807.34449	133168.5011	130199.773	52598.06781	46632.01079	84307.88949	110262.9268	39042.01337	37073.88879	22408.5138	30986.0674	29318.70493	44764.54868	27052.11786	25738.10323	35027.24092	30862.63467	49428.80283	48891.14917	29787.5155	29380.08082	53988.74743	48270.37927	54352.21807	136795.6638	57137.70591	39742.80943	36683.72411	69132.08057	50335.15913	33815.94749	35716.9573	36810.60866	81885.80169	69773.39431	66206.72487	44346.56327	54850.34997	41729.9546	62831.10689	95282.53036	48925.13755	33527.65157	39489.41843	61482.44877	52579.74486	90628.23764	21246.21637	48935.52516	34912.63553	79908.08614	48282.67295	59494.28572	53444.73544	63194.82561	78349.82287	123861.6632	114361.9236	48901.80753	45489.85969	62016.71087	62635.17215	78824.9342	62698.50767	56975.80177	79431.71479	91584.08323	100680.9927	97766.08178	66599.11125	64962.711	99329.41837	42863.5324	42098.1445	108117.2356	51352.71392	62831.61732	46032.5217	51431.5008	63650.93269	45851.05926	37705.12091	44065.60896	46952.1942	54363.837	36678.11891	132636.879	69592.92018	49129.3509	58490.64354	133109.4735	50564.6273	39793.40236	31158.86639	44260.02302	74824.04923	42951.39417	32190.99967	76071.67026	37293.20779	32528.25121	34371.97372	42466.32606	53781.92073	64058.36911	43526.77282	53825.63548	140633.7313	39104.56175	41212.79609	34647.90534	38314.71917	93327.03777	31434.30135	29752.4457	128062.8656	78220.77931	60748.24913	41118.95897	76663.02963	63259.87804	127973.4668	40151.3138	55551.306	42651.20857	39746.15767	77275.85741	51204.67679	33937.10291	81157.55837	37947.91839	34885.43519	61357.28089	116316.6306	38264.59207	33179.68121	33698.23017	79075.19175	28597.75703	27984.64932	23725.03614	42417.65539	49232.35116	33691.59671
Metabolism of other amino acids	17378.93239	36490.50818	28207.97301	39721.14683	44394.12728	37594.02521	20790.40467	40837.04097	45815.08725	57437.68172	29210.06038	32372.45649	29399.28708	49320.0508	59067.33617	35474.98669	40487.38521	53340.96333	52449.15813	39228.99789	51658.05407	56192.9395	38845.29033	54374.24933	43834.65473	60597.78611	21589.89625	61308.65421	96890.82852	98489.70945	38979.44786	42241.36865	64649.62227	79821.86305	26040.01417	27859.84405	19110.74936	23973.60823	25065.09882	34851.56241	20797.82431	25845.87705	26385.1184	21594.47382	39625.77359	29723.79469	24996.65694	25372.3245	45490.17887	40646.39438	43594.47677	98908.99919	44300.84602	36631.39476	27990.63925	62945.93776	35532.67354	28540.11648	31083.11974	31747.64368	61618.91957	55887.52292	47757.44848	42202.42128	34931.55841	36609.31166	50154.7541	79485.77404	38404.2019	26317.4439	28926.19762	42341.34394	31018.02006	58915.19349	27436.87608	34835.01918	26843.15033	46511.09828	36345.87139	42194.01634	45784.11064	40057.0484	54253.04041	80801.60915	81827.23258	43563.71153	40855.50306	49186.51946	48103.47952	58534.63996	50637.67573	47617.76698	61479.51109	48630.20007	59780.36269	69754.90878	61169.70805	51416.84811	52259.01968	39966.63347	29660.13603	83351.89848	37693.6859	43490.20641	30964.42925	36505.55803	48464.82195	32705.42897	29302.73813	28947.59957	34390.28106	38610.55679	24339.50507	95933.29145	50310.57989	35176.89885	44844.84978	96792.44074	40265.00141	34082.0265	25051.29374	32728.81578	56485.47448	32877.61119	26794.6133	57635.63161	26960.45133	22231.41024	26134.23338	28540.41251	50097.81783	45197.73853	29446.57581	35192.35585	102423.4534	26710.21003	28529.01105	27454.62531	27725.79571	70611.81108	22517.69102	21540.83159	92572.7812	56970.81731	44763.44162	33651.92663	62422.27703	42770.40853	94796.9553	31530.53174	43897.61204	29251.61133	29364.91599	63307.88122	40408.78513	26661.61665	63291.98394	30053.43115	24803.90773	50562.21893	84192.2758	28248.16553	26870.88747	24667.26963	58928.66729	32338.50065	19629.91369	20417.84998	33416.95307	37605.56525	26534.79541
Global and overview maps	15526.92213	29781.36112	26086.91999	32179.83464	36972.1889	31723.44415	17625.94846	35139.55607	33740.73551	43980.6321	24285.53723	26115.67903	25168.58113	38300.44477	47745.12652	29881.79742	34846.3469	37891.02284	31181.7111	34625.30809	38593.28256	42348.65825	33132.75486	41478.09562	38723.79285	44825.8719	19616.70338	46994.52241	76276.17841	75379.1532	33981.38462	35342.24015	49600.17637	54269.40474	22952.2396	22081.28087	16547.63612	20069.48341	20648.58979	31661.58417	19095.17774	21354.12919	22965.03416	20711.37578	28907.44206	22956.78904	21473.81225	21633.11317	39174.24052	34418.6507	35945.03283	76733.85609	38754.82808	31624.38567	25685.94426	51228.42363	30909.11632	24397.01289	26224.14068	22797.31846	47352.59473	49938.873	37192.2987	34424.00866	29374.56565	31330.63225	42987.4983	58085.48502	31178.72523	23964.11907	26986.87342	32479.11064	26669.22736	48033.71121	14424.85669	31463.40398	22765.26042	39715.14825	30331.64847	34097.10527	39744.22921	34271.23829	52275.02113	66666.42029	65997.47592	36531.21413	35682.99758	41245.13785	36989.0124	42761.72321	42687.31603	40755.85758	45846.55161	40990.59573	47549.45501	53744.9277	36273.51146	34979.58699	46349.49585	32285.46931	27797.19644	55801.89042	34973.23993	36170.80607	30784.53841	32630.04335	39962.34531	29399.37125	24599.9121	26654.69915	30611.23621	32481.34799	21899.56365	63912.34066	42754.61132	31168.2033	32977.66301	63666.68255	32780.40843	25982.32998	23087.93143	28486.40015	39678.79004	29092.16896	23044.12387	46761.74979	25136.07628	21538.48314	22320.35886	24690.42819	41808.38751	38363.40974	27796.54372	31523.09171	65475.00805	23818.0198	24454.60355	23819.69676	24830.74634	50878.06857	20291.24444	19825.17735	62341.87082	53443.64563	39197.11533	28648.52312	48684.87141	32980.03404	72740.89906	27025.98575	35099.19595	27413.39938	23812.66461	43775.38839	35537.02399	22498.429	40476.29188	27274.7089	22594.44371	39054.71078	66897.96891	25408.10823	24212.219	22744.31589	39862.22738	18355.55808	18173.49237	18075.16724	29168.34321	31742.58215	22739.13848
Biosynthesis of other secondary metabolites	15421.70588	27482.56423	24381.42545	32819.53797	39061.23272	31069.37636	17939.06817	33448.81548	33166.95151	48300.4004	28266.03884	25669.67235	31517.86011	37689.0001	45863.13036	35219.5537	32411.37124	37750.78669	29639.90024	43664.2849	35213.45015	45384.12416	36878.31845	40583.92115	38442.60822	41378.89333	21030.34468	46095.62812	66282.21561	65303.47788	36065.58063	36300.77591	46081.37445	51385.14487	24150.29294	22517.00671	17542.16717	19632.18976	20117.18015	32998.25417	18751.12353	22524.43156	22692.98816	20528.83217	27102.35211	24290.35719	20430.3453	20743.47003	37882.99047	35771.9278	34485.32735	66855.06587	39160.71815	33904.73568	26530.13752	48687.05559	31384.21148	25441.50688	27145.20726	25082.22951	43305.382	49171.56098	36383.68986	34706.60923	33624.86632	32650.65147	41541.7807	63909.92076	30385.92954	23992.59906	25887.22986	32030.91839	32250.79012	44260.97005	12278.05951	32861.16568	23033.5768	40873.26906	32747.83284	39846.75663	39923.6138	40970.34419	46834.01578	64503.65922	54431.3235	37906.11914	36835.18779	44005.87888	35263.98649	41071.4617	45453.26726	40306.52315	44277.93908	45712.06656	50713.93876	51577.50518	36024.3132	36818.79378	54674.65024	30722.09078	27367.91148	52092.23172	34786.94638	36426.38605	29802.19743	32631.9107	37543.95564	29408.64748	23812.87893	28954.08503	31030.75467	32432.98989	25149.95726	60117.37619	44870.42253	32686.24248	33282.58021	58814.7092	31693.27719	26384.04156	23228.86187	29145.46103	38110.48326	29702.72814	23944.49458	40530.64701	24902.54308	21359.97655	21006.56566	24695.22854	44177.0018	34954.93362	29259.11411	33814.40667	59576.07275	24305.64958	25595.26088	24678.08383	26089.67061	44441.07442	21198.81245	19705.87791	59843.12904	51196.71077	39407.29653	29198.3071	46742.60909	38561.89415	63638.4319	27945.39879	33271.00242	27948.02334	25544.78066	39726.64505	34305.39808	23148.45795	38059.02907	27766.15416	24317.44645	37657.79974	56410.61118	25030.55239	23314.9749	22957.80663	36854.3304	19536.51683	19017.21637	18819.78638	28951.40482	31418.91724	22928.34752
Replication and repair	14007.80769	22175.41555	24947.50669	28388.4668	35126.14322	28319.33453	16692.4526	31358.75849	28132.15387	38117.7399	21186.47626	23282.70121	23248.25733	33467.70969	36957.51916	27875.83414	32125.08782	31980.48338	43609.69961	30868.77497	32930.73374	35939.78386	30479.5865	32736.6447	34324.54161	35296.55523	17342.72398	42168.78808	51436.51564	54589.60165	31621.17561	32540.76254	39668.87167	45282.37226	20186.08842	19509.81392	15483.78209	19265.8041	18893.73012	27275.62084	17111.61995	20733.82735	21291.24877	19218.28723	24809.14832	20088.8617	20215.30648	20464.38935	36251.10219	32014.50981	31379.95633	46595.81634	35151.66091	29694.33365	23548.88439	51030.76265	28195.85599	23158.32116	25014.0569	24691.00686	38550.01684	43434.14116	32117.20512	33489.89897	28251.92344	29466.38964	39176.22566	52167.48848	29726.76706	21983.81509	24585.9822	28328.19426	24933.7798	36585.8644	20753.52254	28369.16584	21270.49636	32461.58826	27912.71081	32622.98655	34730.92163	30025.13434	44062.63602	51934.83974	45177.44949	33390.2734	33509.88258	35699.66558	31042.85084	34843.46193	36760.64806	40380.52889	38354.40783	36887.04614	42403.69863	39711.5123	35962.98191	34873.49232	42665.11129	31014.07304	25312.6928	45879.31971	32323.79757	29682.37764	28394.2871	28958.17122	33211.98385	27341.39933	24160.7157	24097.27968	28661.18075	28356.69953	19631.18403	51652.71248	38437.51892	29418.90828	28283.92825	50883.04419	28521.99265	23449.77075	21357.80258	25961.03676	33002.35598	26843.51388	21779.5816	34031.10821	23584.64323	20139.29818	21402.7895	24046.07059	39353.00135	31210.10427	25804.21286	27003.35168	51487.09905	21843.19313	19938.81326	21917.79283	22460.4333	35758.38265	18414.81383	18543.9072	50202.54503	48652.16235	34437.33628	26500.39472	40057.69844	28164.74542	46303.86254	25919.37935	35053.6124	24856.7415	21797.01648	37802.9308	31807.55167	21224.05975	35256.04786	25620.50306	20834.79241	35533.92311	45982.85577	23372.47674	22196.21625	21116.36584	32663.08141	20300.2258	16695.73784	16670.61929	26491.75897	29219.06462	19946.48868
Glycan biosynthesis and metabolism	10828.2569	24833.43391	13350.85355	21877.65623	19465.76478	23252.81724	9392.394823	18646.57618	27446.3974	53983.73034	42915.41547	14975.10424	43866.41497	25777.90793	35875.81037	52914.87185	18305.0385	29939.97449	22623.43231	62908.35873	28113.68692	52294.0918	36123.40447	35618.12796	33241.57865	27077.70627	15437.55702	33954.92302	39526.98075	39193.33278	29510.05867	18924.02294	32982.55122	38095.8264	21736.62771	18257.62679	9522.887456	20780.40972	13319.88233	20515.13887	14626.48013	11646.31094	20878.29154	13512.46703	18315.1986	38511.99941	13823.50339	11205.28974	21810.9558	24405.69142	19659.07586	38308.60104	29766.76883	17071.09716	15573.9714	28531.64605	30917.72268	16515.07383	13961.46844	17365.38178	27794.09346	27734.72092	30923.56661	20625.57034	41108.47066	16763.27435	28171.03408	47732.43875	29179.35067	12805.71959	14065.61183	27489.92508	51558.1708	49735.09369	9968.417469	25954.79577	20856.21717	67151.34602	31726.50065	39124.42261	19844.09347	58535.94461	26309.84328	76363.93176	36044.07793	21710.32836	22875.1229	37300.42091	22284.85126	34363.83473	31796.27522	25949.30749	42169.96062	91819.586	85141.55165	41227.79666	26951.40086	29422.85495	109789.9791	17817.39122	15677.54257	36585.13359	19699.49677	30728.07159	17579.66098	19259.75778	21381.58942	20881.93239	14110.28102	28162.34553	19847.20071	19469.0477	27139.69221	44283.07063	53045.17085	20134.65618	21851.59353	43082.68158	17844.97426	17770.23608	11830.97144	25931.48204	27968.66247	16810.39355	16617.53091	24867.79249	15209.69867	12206.36513	12900.83946	29270.4106	24326.9929	21564.8435	15442.72104	49115.01161	44876.90569	21021.66698	25499.46332	18320.51737	23860.90255	30417.77863	18322.46771	13300.47026	46104.07922	27204.17841	36411.41813	17649.45412	25533.93458	51909.24066	38547.15896	20494.18082	26651.99634	17888.86044	14966.52611	28352.11479	18648.00014	12161.68247	26908.50682	17285.34604	17302.1305	19857.71667	32359.04918	17437.42957	11956.32482	12869.73349	26477.48321	11292.17972	14744.1956	9849.136459	17317.59591	18891.61549	12289.91708
Energy metabolism	11198.97394	23871.01242	17260.74563	24879.1947	26376.20798	23820.6064	12953.53095	25580.23822	27832.74073	34106.85285	18586.14357	20182.61278	19594.59106	28451.59932	37928.767	22062.62875	25183.62257	31303.16128	25746.01608	26836.44874	30406.17675	35026.641	25181.94256	34618.8069	28896.04303	34903.7367	14253.39743	35023.17994	63042.30511	61878.61805	26136.08363	25797.20489	40198.08132	47521.68177	17743.58132	17392.09344	11772.68546	12712.06845	13865.82325	22596.67745	13218.76435	14810.35133	15550.43807	14829.07242	22358.45879	17941.48935	13756.96587	13605.7616	26401.17916	23017.72535	26586.01081	66845.34546	27191.27411	24674.44026	19271.06497	31269.75036	21876.83468	17000.61659	20132.56537	17907.72412	38454.94856	35051.82407	29432.24435	22058.17271	21560.8757	22379.4091	28656.99903	50230.69593	20478.11926	17072.32024	19764.86016	25857.14176	19370.13745	38014.14986	12714.01206	23205.58285	14931.22839	29906.72014	19981.83425	25772.13694	31471.9852	26141.76698	40655.68545	50890.77105	53563.66177	29001.1477	27075.10128	32221.35247	28840.99316	35343.33655	33674.98974	27970.74228	37542.64923	30435.28842	36496.41168	44048.41152	32134.94341	29428.45388	33480.74874	19645.45045	20029.77106	48386.11322	25277.60946	28456.09949	21760.66514	24947.16378	30786.89287	21496.64029	18359.37651	19541.97569	22530.70848	25792.65272	16355.612	57528.68389	31044.26307	24280.58205	28162.48884	57091.83083	25734.19051	19408.10103	16380.38305	21248.0269	34091.11756	22047.63555	17593.03739	36401.67209	18298.01328	15724.86797	15747.1475	18011.17203	29404.42267	29591.44552	21641.75227	23931.77792	59692.72942	17937.26513	19111.2918	17881.698	18007.97299	43078.27214	14874.41087	14395.4045	56174.93488	38672.79053	28808.22796	21799.81355	39946.55209	26364.21815	58746.88709	19846.14061	25858.47198	20659.06216	19992.39379	36619.51627	27066.89804	17249.1485	36178.43284	19773.93198	17046.39441	30738.08233	54716.98981	17838.04199	16346.78373	16929.03975	34030.72129	12805.38505	13355.34642	13686.5143	20598.88515	24219.21547	17013.89365
