	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88
Lachnospira	0	0	16	11	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	13	6	32	0	0	0	0	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	17	0	0	0	0	80	0	0	49	4	0	0	0	0	0	6	0	0	13	23	0	0	0	11	0	0	0	0	0	0	7	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	200	0	37	10	225	281	0	31	55	0	0	131	74	0	16	0	19	16	5	168	248	6	17	200	67	122	27	18	49	0	0	0	183	25	0	0	0	79	24	0	354	0	48	97	0	49	39	0	25	0	0	25	0	0	8	29	0	4	1304	29	77	0	0	61	14	0	90	16
Bifidobacterium	617	29	6705	10	50	1789	163	6515	15	7764	612	63	187	11221	250	346	7337	7	0	79	3575	491	997	755	195	4800	2605	11368	136	1060	0	0	1568	117	12	85	2223	7014	8845	4238	4154	2223	7217	46	6657	881	9811	13622	13149	10455	6534	137	1419	10	826	36913	4379	3464	458	2552	121	264	1559	15356	56	1842	17855	60	13372	379	9	4	1572	127	210	1038	9110	6	14709	6777	158	1860	671	2332	36	113	1677	384	4886	297	1658	17244	32	0	111	21	103	4515	22	21295	59	126	6	98	9	10	0	20	135	0	2628	781	4	0	7180	1358	0	0	21	6428	155	383	1016	94	1601	1039	33	86	686	20	4962	38	122	7	473	46	181	733	1516	8	787	47	20	1630	2749	40	222	2126	69	344	7608	120	9	0	0	23	8	36	592	1400	47	5337	2401	65	3874	5028	0	289	8266	16	292
Faecalibacterium	131	203	10285	1947	950	1363	301	11	0	0	0	433	0	6	0	173	14	63	0	170	0	1239	2802	317	229	0	3928	235	615	115	2394	231	334	565	4837	1274	0	19	0	34	144	50	0	8834	0	0	22	0	230	2161	34	0	1618	111	2409	0	128	452	537	0	920	114	255	22	179	1008	0	119	0	2488	7047	244	79	12	25	4573	0	0	114	1285	33	226	20	145	0	10	7498	12	0	0	0	0	214	0	0	0	0	23	5	7	6404	24	4789	8527	14478	5124	13157	6761	7668	1940	6076	1495	4757	1222	384	1260	300	2289	2270	388	4881	877	43	3673	1138	3250	7250	5336	7186	693	169	9690	5835	2343	45	3294	784	1196	4682	22	1667	3177	27	25791	3986	2371	58	17	181	2021	201	8536	1858	0	1498	116	0	1027	3311	60	2959	3351	2064	3998	0	0	2443	604	491	5762	641
Halomonas	0	0	0	0	61	21	0	54	0	0	0	0	4	23	8	0	42	42	46	12	2	0	5	0	18	4	0	24	3	25	23	5	23	2	0	2	0	7	2	21	0	2	0	3	0	0	5	0	8	7	16	0	4	2	0	7	0	0	5	0	17	718	0	0	6	10	15	0	0	3	0	0	0	2	2	0	0	0	0	4	14	0	24	0	9	4	3	6	2	0	19	0	28	0	7	2	10	5	4	0	4	0	5	0	0	0	0	3	3	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	35	0	0	5	61	5	3	6	0	0	5	4	0	0	0	0	0	7	11	8	8
Sellimonas	6	12	0	0	0	44	0	334	0	0	0	0	51	0	60	8	536	0	0	11	0	0	0	60	0	18	8	0	0	0	0	0	0	0	0	0	0	54	7	29	13	0	30	0	0	0	0	0	48	6	0	0	0	0	0	0	0	0	0	0	0	9	0	44	0	0	66	0	21	0	19	0	9	0	0	17	86	43	0	0	193	0	461	0	39	0	52	0	79	100	62	43	27	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	15	0	0
Erysipelatoclostridium	0	0	15	0	5	14	0	932	3439	27	16	0	141	459	150	71	140	135	0	5	135	13	0	28	81	98	3	0	0	33	0	0	347	0	0	0	10	200	37	556	51	0	16	4	0	95	28	0	193	181	0	78	11	246	28	0	210	0	0	0	0	39	0	51	0	0	1796	309	78	0	0	6	0	69	0	89	348	2	0	0	189	5	270	49	97	23	51	51	104	262	15	968	6892	19	13	6	2203	13	5	0	0	8	0	25	0	0	16	0	0	0	0	3	0	7	28	0	0	0	0	0	0	6	17	0	0	0	0	0	0	3	23	0	0	0	0	0	0	0	10	0	13	0	77	11	161	5	0	0	0	0	0	0	0	0	0	27	0	0	0	0	39	12	6	0	16	0	0	0	3	0	0
Haemophilus	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	77	73	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	19	0	0	0	0	42	0	0	0	16	0	0	0	0	78	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	36	7	0	0	35	216	0	4	0	0	0	543	22	0	0	4	0	0	0	0	0	0	13	25	7	111	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	82	198	0	0	0	7	0	49	6	0	0	12	0	0	170	0	0
Lachnospiraceae_NK4A136_group	10	53	32	140	0	93	0	6	0	0	0	67	0	0	0	0	0	0	0	0	0	184	429	0	1051	0	37	200	67	10	279	26	0	46	1252	8	0	0	0	0	0	6	0	58	0	0	0	0	33	0	0	0	73	0	74	0	0	69	108	0	95	180	25	0	0	131	0	7	0	84	385	8	0	0	0	13	0	0	0	0	127	0	13	0	0	62	0	1169	0	0	0	0	0	0	0	0	0	0	0	0	149	0	78	0	148	373	18	274	36	127	33	698	563	21	0	60	40	9	524	0	116	92	0	171	67	213	162	211	0	707	0	142	94	10	0	98	28	53	12	15	14	78	0	177	0	59	18	0	15	105	9	43	0	0	52	0	0	369	10	0	0	0	23	43	0	0	221	19	374	67	43
Monoglobus	0	0	0	340	40	1163	5	0	506	0	0	57	0	0	0	4	5	6	0	14	6	0	549	71	183	267	234	37	180	8	14	501	0	9	91	12	58	33	0	13	0	5	6	4	0	0	3	0	431	53	5	0	121	301	449	0	143	4	882	0	278	845	7	0	78	516	0	0	2	178	26	0	17	0	0	0	54	0	0	3	13	0	36	52	0	0	0	469	24	0	0	34	904	0	0	0	0	0	0	0	17	108	138	51	122	95	70	35	36	255	60	112	20	104	372	46	37	110	109	5	34	113	484	0	83	1154	8	33	0	82	517	119	95	25	0	63	4	59	459	38	0	26	0	1186	0	117	669	0	114	59	49	135	150	0	172	1422	0	88	259	12	0	0	158	18	0	0	7	50	0	54	219
[Ruminococcus]_gnavus_group	76	0	0	0	0	206	0	18	1557	350	84	108	2635	111	641	124	54	70	0	1884	1814	72	0	238	24	210	56	0	0	292	13	0	4207	8	14	16	0	100	108	72	17	0	11	0	237	32	69	13	12	63	0	0	292	267	0	337	337	100	77	15	0	365	0	59	0	11	0	234	318	0	0	0	9	57	0	72	16	117	0	11	52	18	0	19	4	14	431	1250	9	51	88	9	309	0	261	551	317	17	233	7	0	0	0	126	0	0	0	40	0	0	29	25	11	0	353	0	0	0	0	0	28	0	786	0	7	11	0	0	68	21	23	0	0	6	11	0	24	0	35	0	0	0	458	13	143	0	0	405	8	0	0	0	46	100	0	923	222	0	0	0	129	0	10	0	331	0	0	0	0	0	0
CAG-56	0	0	0	74	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	75	25	0	0	0	0	66	0	0	0	0	21	0	18	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	346	0	0	0	0	0	68	0	19	0	0	0	13	565	0	0	0	7	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	21	0	61	192	0	366	0	16	77	0	0	20	0	31	0	0	94	0	0	55	0	94	0	63	92	10	0	0	0	165	0	9	0	120	11	24	0	0	126	0	0	0	0	156	43	0	0	111	0	13	0	0	42	0	0	135	113	0	0	0	0	0	0	0	64	218	68	66	0
Parasutterella	0	0	4	25	0	9	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	21	0	338	6	0	26	0	109	14	24	8	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	5	23	0	0	19	0	0	0	0	0	19	18	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	0	0	0	0	0	0	43	0	0	0	0	0	0	0	17	0	0	0	0	15	0	0	0	0	0	0	0	3	0	0	0	392	0	0	0	0	0	0	38	0	0	0	0	4	0	0	14	126	15	0	11	17	0	120	77	0	0	0	0	0	0	0	10	0	0	0	9	1740	0	1023	0	0	0	0	0	1270	17	122	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	32	0	0
Agathobacter	0	11	0	11	0	232	89	0	0	0	0	1622	0	0	0	66	31	8	0	0	0	29	255	0	123	11	0	8	1845	248	0	483	416	192	183	536	1506	0	0	0	0	0	674	76	9	0	0	0	0	1450	504	0	1198	519	3150	0	156	0	285	0	751	3549	71	0	73	177	11	81	0	1565	502	0	145	0	0	1071	0	0	0	0	0	0	0	15	0	0	0	102	0	0	0	0	0	0	14	0	0	0	16	0	3207	0	3495	0	0	4878	53	209	1565	224	4944	3664	42	4056	0	7935	2668	22	672	37	919	957	0	2834	0	0	92	2874	105	1038	1315	676	9253	506	0	1295	106	118	178	18	329	1217	24	0	0	407	105	211	0	538	126	3721	8238	0	464	1149	0	21	4097	0	0	29	389	1592	0	9	396	153	514	296	1047
Lactobacillus	0	5	615	4	5	0	517	0	4	0	0	116	0	0	0	83	19	31	0	0	0	25	9	64	45	63	0	141	0	9	13	6	126	463	0	8	228	22	7	0	0	0	39	3	11	26	190	685	805	0	1204	6	87	0	9	225	80	10	24	4842	147	3	386	183	35	3	0	0	0	0	16	248	81	3	13961	0	0	0	0	1433	0	0	0	213	0	0	0	0	0	0	0	4	12	55	59	24	7433	5693	1183	813	0	4	44	0	0	0	0	44	2161	0	76	0	0	0	3	330	0	0	0	2	19	0	28	0	4	177	6	0	0	0	7	47	0	0	42	7	0	0	0	110	18	0	0	0	0	8	0	29	0	0	0	2	0	0	0	0	0	0	0	0	0	286	186	0	3	10530	0	0	7	0	21
Bilophila	0	6	0	10	15	0	9	0	0	0	0	18	0	0	3	21	0	0	0	0	0	44	0	0	0	0	4	7	0	18	410	5	0	5	13	0	0	0	0	13	20	0	0	0	0	0	0	0	0	10	7	0	27	0	5	0	5	13	6	0	0	0	4	0	0	0	0	0	3	6	17	13	115	0	0	4	0	0	0	13	59	7	37	14	4	0	119	174	10	0	0	0	3	0	245	6	0	0	0	17	0	0	14	30	0	6	0	3	0	6	4	0	0	5	0	0	0	0	6	0	0	0	33	5	7	0	0	0	0	5	0	0	0	0	0	17	6	4	6	0	12	7	0	67	0	0	0	0	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	7	221	0	2	0	89	0	0
