C36,0.0,6.0,122.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,30.0,0.0,83.0,0.0,0.0,0.0,0.0,71.0,62.0,8.0,0.0,0.0,0.0,0.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10949.0,95.0,0.0,81.0,0.0,33.0,0.0,6718.0,0.0,0.0,471.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,C,C36
C39,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3146.0,19.0,54.0,0.0,8357.0,0.0,6.0,0.0,0.0,19.0,13.0,157.0,0.0,3.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,5.0,0.0,2367.0,25.0,0.0,17.0,0.0,214.0,0.0,4179.0,0.0,0.0,1304.0,0.0,92.0,122.0,18.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,C,C39
C40,0.0,49.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,35.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,6.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C40
C42,21.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,14.0,0.0,1386.0,52.0,183.0,0.0,0.0,1092.0,723.0,301.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,18.0,0.0,0.0,195.0,0.0,0.0,0.0,17.0,0.0,0.0,4012.0,63.0,0.0,0.0,0.0,546.0,0.0,4520.0,0.0,0.0,839.0,0.0,8.0,0.0,0.0,0.0,10.0,291.0,1354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,C,C42
C43,26.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,497.0,3.0,57.0,0.0,1693.0,177.0,263.0,0.0,0.0,86.0,512.0,782.0,0.0,85.0,0.0,0.0,9.0,33.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,98.0,0.0,9.0,4.0,59.0,0.0,0.0,3017.0,4.0,18.0,10.0,0.0,1230.0,0.0,1430.0,58.0,0.0,567.0,0.0,5.0,9.0,0.0,5.0,21.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2507.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,C,C43
C44,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,206.0,33.0,47.0,0.0,1409.0,141.0,52.0,0.0,0.0,0.0,234.0,446.0,0.0,19.0,0.0,0.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,122.0,0.0,0.0,0.0,70.0,0.0,0.0,2367.0,59.0,3.0,69.0,0.0,792.0,0.0,8363.0,0.0,0.0,418.0,0.0,4.0,97.0,0.0,0.0,25.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,C,C44
C46,0.0,0.0,1516.0,0.0,0.0,0.0,0.0,0.0,843.0,7.0,32.0,0.0,2838.0,0.0,0.0,0.0,0.0,0.0,30.0,44.0,0.0,6.0,0.0,0.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,3.0,0.0,2555.0,459.0,0.0,301.0,0.0,164.0,0.0,7304.0,0.0,0.0,8.0,0.0,2.0,8.0,0.0,0.0,432.0,0.0,124.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C46
C49,0.0,52.0,8.0,0.0,0.0,38.0,0.0,21.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,76.0,0.0,0.0,0.0,110.0,0.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,0.0,243.0,38.0,0.0,8.0,0.0,0.0,0.0,703.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,23.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18055.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,C,C49
C50,0.0,0.0,787.0,0.0,0.0,0.0,16.0,0.0,17.0,0.0,83.0,0.0,1624.0,0.0,15.0,120.0,0.0,328.0,151.0,70.0,0.0,113.0,0.0,0.0,77.0,271.0,0.0,0.0,0.0,18.0,0.0,108.0,0.0,0.0,0.0,114.0,0.0,113.0,0.0,26.0,0.0,44.0,3981.0,0.0,0.0,16.0,0.0,933.0,0.0,3802.0,17.0,0.0,269.0,0.0,24.0,65.0,18.0,0.0,210.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,C,C50
C51,103.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,31.0,0.0,659.0,4.0,17.0,0.0,0.0,132.0,510.0,259.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,5.0,180.0,0.0,0.0,0.0,10.0,0.0,8.0,3111.0,26.0,0.0,6.0,0.0,1329.0,0.0,6347.0,19.0,0.0,692.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,352.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C51
C52,0.0,42.0,20.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,400.0,0.0,1257.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,77.0,8.0,0.0,0.0,39.0,0.0,0.0,127.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3413.0,0.0,0.0,0.0,0.0,15.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,222.0,58.0,0.0,0.0,0.0,1236.0,0.0,11.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.0,1.0,22373.0,0.0,15.0,0.0,0.0,9.0,4.0,0.0,12.0,C,C52
C54,0.0,0.0,1630.0,0.0,0.0,3.0,0.0,0.0,39.0,0.0,8.0,0.0,431.0,64.0,32.0,0.0,0.0,0.0,23.0,7.0,0.0,67.0,0.0,0.0,153.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3834.0,1186.0,0.0,127.0,0.0,572.0,0.0,25925.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,1069.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,C,C54
C55,0.0,0.0,2749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,44.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7977.0,0.0,0.0,1963.0,0.0,608.0,0.0,4017.0,0.0,8.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1763.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C55
C57,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,26.0,0.0,0.0,86.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,77.0,0.0,308.0,0.0,0.0,4007.0,117.0,0.0,180.0,0.0,251.0,0.0,11579.0,0.0,0.0,11.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,400.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,C,C57
C58,0.0,14.0,222.0,0.0,0.0,0.0,0.0,7.0,3.0,64.0,158.0,0.0,20.0,8.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,8.0,0.0,0.0,86.0,8.0,0.0,0.0,0.0,0.0,125.0,30.0,0.0,13.0,0.0,3.0,0.0,11.0,0.0,1843.0,0.0,0.0,2676.0,669.0,0.0,87.0,0.0,16.0,0.0,10186.0,0.0,0.0,36.0,0.0,7.0,1135.0,0.0,0.0,0.0,0.0,27.0,0.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8698.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,151.0,C,C58
C59,0.0,0.0,2126.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,11.0,0.0,8173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,0.0,0.0,0.0,29.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2408.0,0.0,0.0,141.0,0.0,53.0,0.0,655.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1092.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C59
C60,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,6.0,0.0,467.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,114.0,0.0,48.0,0.0,0.0,0.0,735.0,0.0,0.0,36.0,0.0,0.0,10.0,0.0,0.0,70.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C60
C61,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,14.0,0.0,695.0,620.0,180.0,0.0,0.0,941.0,750.0,122.0,0.0,46.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,265.0,0.0,39.0,0.0,8.0,2878.0,59.0,29.0,58.0,0.0,921.0,0.0,9070.0,46.0,0.0,1135.0,0.0,0.0,111.0,0.0,0.0,85.0,0.0,1585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C61
C62,0.0,58.0,7608.0,2.0,8.0,4.0,0.0,0.0,1056.0,0.0,86.0,0.0,938.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,115.0,5.0,0.0,5.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,108.0,100.0,0.0,2128.0,49.0,0.0,363.0,0.0,149.0,0.0,1694.0,0.0,0.0,0.0,0.0,6.0,162.0,0.0,0.0,0.0,0.0,11603.0,0.0,12.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,1270.0,0.0,331.0,0.0,35.0,0.0,0.0,15.0,0.0,0.0,0.0,C,C62
C63,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,12.0,0.0,846.0,0.0,11.0,0.0,0.0,241.0,76.0,196.0,0.0,16.0,0.0,0.0,42.0,12.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,94.0,0.0,7.0,0.0,0.0,5573.0,135.0,0.0,42.0,0.0,45.0,0.0,10290.0,0.0,0.0,77.0,0.0,0.0,84.0,0.0,0.0,13.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C63
C64,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9783.0,150.0,0.0,229.0,0.0,81.0,0.0,1858.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,946.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C64
C71,0.0,545.0,0.0,0.0,0.0,0.0,0.0,36.0,208.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,110.0,73.0,124.0,0.0,0.0,19.0,560.0,0.0,297.0,0.0,0.0,0.0,4.0,0.0,5452.0,0.0,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3807.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9128.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,C,C71
C72,0.0,197.0,0.0,0.0,0.0,0.0,42.0,59.0,2509.0,324.0,1657.0,50.0,162.0,27.0,0.0,0.0,0.0,568.0,56.0,17.0,0.0,82.0,0.0,0.0,276.0,39.0,22.0,25.0,0.0,0.0,535.0,828.0,0.0,79.0,0.0,174.0,0.0,129.0,0.0,10.0,8.0,0.0,7337.0,172.0,0.0,221.0,0.0,724.0,0.0,5510.0,0.0,0.0,438.0,256.0,7.0,774.0,0.0,0.0,16.0,503.0,608.0,0.0,69.0,8.0,9.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,61.0,82.0,0.0,22.0,0.0,0.0,0.0,C,C72
C73,3.0,238.0,35.0,0.0,0.0,57.0,0.0,27.0,329.0,0.0,147.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,1095.0,59.0,0.0,63.0,0.0,0.0,0.0,613.0,0.0,40.0,0.0,449.0,0.0,0.0,0.0,412.0,21.0,0.0,6590.0,1422.0,0.0,455.0,0.0,30.0,0.0,324.0,0.0,0.0,70.0,0.0,65.0,609.0,405.0,0.0,75.0,26.0,94.0,1772.0,107.0,43.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,5.0,198.0,0.0,0.0,0.0,0.0,0.0,C,C73
C74,0.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,11.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,26.0,0.0,0.0,21.0,37.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,4415.0,3.0,0.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2561.0,0.0,0.0,0.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13370.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C74
C75,63.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,99.0,10.0,172.0,58.0,351.0,243.0,26.0,0.0,0.0,62.0,315.0,148.0,0.0,23.0,0.0,0.0,36.0,58.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,449.0,26.0,951.0,15.0,34.0,0.0,0.0,3728.0,88.0,9.0,87.0,0.0,1976.0,0.0,9080.0,172.0,0.0,946.0,0.0,4.0,70.0,5.0,0.0,20.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,173.0,C,C75
C76,0.0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,27.0,0.0,1348.0,0.0,39.0,0.0,0.0,39.0,434.0,17.0,0.0,0.0,0.0,0.0,23.0,26.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,5264.0,259.0,0.0,10.0,0.0,25.0,0.0,6984.0,0.0,0.0,379.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C76
C77,0.0,7.0,1400.0,0.0,0.0,0.0,0.0,14.0,165.0,3.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,5.0,0.0,16.0,0.0,0.0,0.0,109.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,14274.0,0.0,0.0,180.0,12.0,0.0,10.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,1451.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4535.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,C,C77
C78,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,124.0,0.0,0.0,0.0,0.0,3.0,65.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,32.0,0.0,2959.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20293.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,C,C78
C79,0.0,0.0,5337.0,0.0,0.0,0.0,0.0,0.0,837.0,29.0,18.0,0.0,1180.0,0.0,0.0,0.0,0.0,2162.0,0.0,14.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,286.0,7.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,0.0,0.0,2407.0,0.0,0.0,245.0,0.0,18.0,0.0,3412.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,256.0,142.0,189.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,4.0,49.0,0.0,0.0,0.0,0.0,0.0,C,C79
C80,0.0,0.0,2401.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,280.0,0.0,91.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,15.0,0.0,0.0,0.0,186.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,3433.0,158.0,0.0,32.0,0.0,13.0,0.0,8951.0,0.0,0.0,823.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,C,C80
C81,12.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,133.0,0.0,63.0,0.0,17.0,98.0,0.0,1671.0,76.0,59.0,0.0,180.0,0.0,0.0,28.0,74.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,231.0,0.0,97.0,0.0,66.0,0.0,5.0,3750.0,18.0,0.0,77.0,0.0,636.0,0.0,6651.0,0.0,0.0,1412.0,0.0,0.0,283.0,0.0,0.0,20.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C81
C82,0.0,170.0,3874.0,0.0,0.0,8.0,0.0,17.0,1090.0,0.0,38.0,0.0,10.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,221.0,0.0,0.0,16.0,15.0,27.0,52.0,0.0,3.0,0.0,258.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,937.0,0.0,0.0,293.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,8.0,201.0,0.0,0.0,31.0,0.0,5.0,6.0,137.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C82
C83,0.0,0.0,5028.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,17.0,10530.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,C,C83
C84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,19.0,45.0,0.0,1033.0,0.0,35.0,0.0,0.0,996.0,199.0,138.0,0.0,22.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,71.0,0.0,116.0,0.0,15.0,3573.0,7.0,7.0,34.0,0.0,1020.0,0.0,4701.0,0.0,0.0,272.0,0.0,27.0,31.0,0.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,C,C84
C85,120.0,0.0,289.0,0.0,0.0,0.0,0.0,8.0,19.0,30.0,100.0,0.0,103.0,4.0,21.0,0.0,0.0,0.0,34.0,9.0,0.0,14.0,0.0,0.0,81.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,292.0,0.0,58.0,0.0,154.0,0.0,12.0,3562.0,50.0,0.0,0.0,0.0,166.0,0.0,7181.0,0.0,0.0,249.0,8.0,12.0,16.0,5.0,0.0,35.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,7.0,0.0,0.0,2.0,5.0,0.0,6.0,C,C85
C86,0.0,329.0,8266.0,0.0,0.0,4.0,0.0,46.0,1353.0,8.0,119.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,26.0,33.0,0.0,89.0,0.0,0.0,165.0,157.0,6.0,77.0,0.0,7.0,0.0,633.0,0.0,73.0,0.0,8.0,0.0,0.0,0.0,1202.0,0.0,0.0,4955.0,0.0,5.0,74.0,0.0,55.0,0.0,1252.0,0.0,0.0,66.0,0.0,80.0,518.0,3.0,0.0,14.0,0.0,28.0,0.0,149.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,37.0,0.0,11.0,170.0,0.0,7.0,0.0,0.0,0.0,C,C86
C87,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,62.0,7.0,41.0,0.0,203.0,0.0,25.0,9.0,0.0,894.0,62.0,40.0,0.0,0.0,0.0,0.0,21.0,8.0,0.0,0.0,0.0,0.0,73.0,38.0,0.0,0.0,0.0,42.0,0.0,227.0,0.0,1624.0,0.0,0.0,3195.0,54.0,0.0,128.0,0.0,349.0,0.0,10616.0,0.0,0.0,699.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C87
C88,55.0,0.0,292.0,0.0,0.0,2.0,87.0,0.0,269.0,33.0,256.0,0.0,15.0,3.0,0.0,113.0,0.0,201.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,21.0,12.0,28.0,80.0,0.0,0.0,498.0,0.0,277.0,0.0,1218.0,0.0,13.0,4211.0,219.0,0.0,159.0,0.0,238.0,0.0,4176.0,9.0,0.0,835.0,0.0,9.0,84.0,7.0,0.0,9.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C88
